id,Loan Amount,Term,State,Annual Income,Income Verification Status,Average Account Balance,Due Amount,Home Ownership,Loan Purpose,Due Settlement,Installment Amount,Payment Plan,Approve Loan
1267,25000.0, 36 months,CO,50000.0,Partially Verified,4073.0,783.3,OWN,credit_card,N,783.3,n,1
1,8000.0, 36 months,FL,65000.0,Partially Verified,2298.0,263.78,RENT,debt_consolidation,Y,263.78,n,1
2219,11000.0, 36 months,MI,49000.0,Verified,1441.0,3978.72,MORTGAGE,debt_consolidation,N,342.12,n,1
453,35000.0, 36 months,CA,108000.0,Verified,33603.0,1154.0,MORTGAGE,credit_card,Y,1154.0,n,1
1108,35000.0, 36 months,CA,87000.0,Partially Verified,3399.0,1300.55,RENT,debt_consolidation,Y,1300.55,n,0
989,9500.0, 36 months,CT,37550.0,Verified,5565.0,313.01,RENT,debt_consolidation,N,313.01,n,1
1943,20000.0, 60 months,MD,90000.0,Verified,42842.0,97.44,RENT,debt_consolidation,N,592.79,n,0
713,, 36 months,IN,105000.0,Not Verified,26308.0,48.75,MORTGAGE,other,Y,48.75,n,1
1836,4500.0, 36 months,PA,60000.0,Not Verified,1490.0,141.52,RENT,debt_consolidation,Y,141.52,n,1
2190,3300.0, 36 months,TX,150000.0,Not Verified,5930.0,1346.51,OWN,other,N,108.73,n,1
897,7700.0, 36 months,TX,85200.0,Partially Verified,1551.0,4114.45,RENT,credit_card,N,241.26,n,1
1754,14000.0, 60 months,CT,50000.0,Partially Verified,,363.1,MORTGAGE,credit_card,N,363.1,n,0
1458,3500.0, 36 months,NJ,35000.0,Partially Verified,1579.0,115.4,RENT,major_purchase,Y,115.4,n,1
52,13600.0, 60 months,TN,70000.0,Partially Verified,4106.0,337.93,RENT,other,N,337.93,n,0
2238,21000.0, 60 months,NY,,Not Verified,61814.0,50.0,MORTGAGE,debt_consolidation,Y,556.26,n,0
1935,14000.0, 60 months,CA,50000.0,Partially Verified,4206.0,4928.0,MORTGAGE,debt_consolidation,Y,452.87,n,0
980,4000.0, 36 months,MD,38000.0,Not Verified,35488.0,50.0,MORTGAGE,debt_consolidation,Y,131.79,n,1
892,, 36 months,CO,32000.0,Not Verified,13461.0,1362.98,RENT,major_purchase,N,126.49,n,1
2558,15950.0, 36 months,CA,42000.0,Partially Verified,3331.0,631.98,RENT,debt_consolidation,Y,631.98,,0
194,7000.0, 36 months,NC,72000.0,Partially Verified,,220.14,OWN,home_improvement,Y,220.14,n,1
189,13250.0, 36 months,MA,37000.0,Not Verified,2404.0,436.87,RENT,debt_consolidation,Y,436.87,n,1
2525,35000.0, 36 months,FL,,Partially Verified,5588.0,13171.63,MORTGAGE,debt_consolidation,N,1153.17,n,1
1995,10000.0, 36 months,CO,56000.0,Not Verified,1986.0,309.87,,credit_card,N,309.87,n,1
322,14000.0, 36 months,FL,60000.0,Not Verified,2195.0,7105.95,RENT,credit_card,N,438.65,n,1
1287,12000.0, 60 months,CA,120000.0,Not Verified,7414.0,50.0,RENT,small_business,Y,298.17,n,0
264,12000.0, 36 months,OK,87500.0,Partially Verified,14200.0,4931.42,MORTGAGE,debt_consolidation,N,361.38,n,1
1362,6000.0, 36 months,GA,220000.0,Verified,91434.0,197.69,MORTGAGE,home_improvement,N,197.69,n,1
1984,12800.0, 36 months,NY,55000.0,Not Verified,2252.0,507.17,RENT,small_business,Y,507.17,n,0
2082,16800.0, 36 months,CA,,Partially Verified,66452.0,505.93,MORTGAGE,home_improvement,N,505.93,n,1
1025,11000.0, 36 months,NC,127000.0,Not Verified,10285.0,3478.97,MORTGAGE,home_improvement,N,362.17,n,1
2078,10000.0, 36 months,HI,40000.0,Partially Verified,1202.0,9364.48,RENT,credit_card,N,356.48,n,0
2012,4500.0, 36 months,MN,40000.0,Not Verified,4751.0,,MORTGAGE,car,N,141.52,n,1
1887,7500.0, 36 months,AR,90000.0,Not Verified,18529.0,2266.46,MORTGAGE,home_improvement,N,231.55,n,1
